index,artist_all,artist_base,rank,song,year,artist_featured
55,michael jackson  and  janet jackson,michael jackson,56,scream,1995,
56,jodeci,jodeci,57,freek'n you,1995,
57,skee-lo,skee-lo,58,i wish,1995,
58,elton john,elton john,59,believe,1995,
59,natalie merchant,natalie merchant,60,carnival,1995,
60,tom petty,tom petty,61,you don't know how it feels,1995,
61,take that,take that,62,back for good,1995,
62,69 boyz,69 boyz,63,tootsee roll,1995,
63,janet jackson,janet jackson,64,you want this,1995,
64,groove theory,groove theory,65,tell me,1995,
65,total  featuring  the notorious b.i.g.,total,66,can't you see,1995, the notorious b.i.g.
66,sheryl crow,sheryl crow,67,all i wanna do,1995,
67,subway  featuring  702,subway,68,this lil' game we play,1995, 702
68,real mccoy,real mccoy,69,come and get your love,1995,
69,bon jovi,bon jovi,70,this ain't a love song,1995,
70,madonna,madonna,71,secret,1995,
71,junior m.a.f.i.a.  featuring  the notorious b.i.g.,junior m.a.f.i.a.,72,player's anthem,1995, the notorious b.i.g.
72,naughty by nature,naughty by nature,73,feel me flow,1995,
73,jade,jade,74,every day of the week,1995,
74,vanessa williams,vanessa williams,75,the sweetest days,1995,
75,20 fingers  featuring  gillette,20 fingers,76,short dick man,1995, gillette
76,brandy  featuring  wanya morris,brandy,77,brokenhearted,1995, wanya morris
77,annie lennox,annie lennox,78,no more i love you's,1995,
78,faith evans,faith evans,79,you used to love me,1995,
79,immature,immature,80,constantly,1995,
80,u2,u2,81,"hold me, thrill me, kiss me, kill me",1995,
81,crystal waters,crystal waters,82,100% pure love,1995,
82,raphael saadiq,raphael saadiq,83,ask of you,1995,
83,az,az,84,sugar hill,1995,
84,better than ezra,better than ezra,85,good,1995,
85,d'angelo,d'angelo,86,brown sugar,1995,
86,gloria estefan,gloria estefan,87,turn the beat around,1995,
87,after 7,after 7,88,'til you do me right,1995,
88,bone thugs-n-harmony,bone thugs-n-harmony,89,1st of tha month,1995,
89,melissa etheridge,melissa etheridge,90,like the way i do,1995,
90,firehouse,firehouse,91,i live my life for you,1995,
91,stevie b,stevie b,92,dream about you,1995,
92,rednex,rednex,93,cotton eye joe,1995,
93,boyz ii men,boyz ii men,94,thank you,1995,
94,the pretenders,the pretenders,95,i'll stand by you,1995,
95,n ii u,n ii u,96,i miss you,1995,
96,da brat,da brat,97,give it 2 you,1995,
97,brandy,brandy,98,best friend,1995,
98,soul asylum,soul asylum,99,misery,1995,
99,van halen,van halen,100,can't stop lovin' you,1995,
0,los del río,los del río,1,macarena,1996,
1,mariah carey  and  boyz ii men,mariah carey,2,one sweet day,1996,
2,celine dion,celine dion,3,because you loved me,1996,
3,the tony rich project,tony rich,4,nobody knows,1996,
4,mariah carey,mariah carey,5,always be my baby,1996,
5,tracy chapman,tracy chapman,6,give me one reason,1996,
6,bone thugs-n-harmony,bone thugs-n-harmony,7,tha crossroads,1996,
7,donna lewis,donna lewis,8,i love you always forever,1996,
8,toni braxton,toni braxton,9,you're makin' me high,1996,
9,keith sweat,keith sweat,10,twisted,1996,
10,quad city dj's,quad city dj's,11,c'mon n' ride it (the train),1996,
11,everything but the girl,everything but the girl,12,missing,1996,
12,alanis morissette,alanis morissette,13,ironic,1996,
13,whitney houston,whitney houston,14,exhale (shoop shoop),1996,
14,gin blossoms,gin blossoms,15,follow you down,1996,
15,brandy,brandy,16,sittin' up in my room,1996,
16,2pac  featuring  k-ci and jojo,2pac,17,how do u want it,1996, k-ci and jojo
17,celine dion,celine dion,18,it's all coming back to me now,1996,
18,eric clapton,eric clapton,19,change the world,1996,
19,ll cool j,ll cool j,20,hey lover,1996,
20,ll cool j,ll cool j,21,loungin,1996,
21,jann arden,jann arden,22,insensitive,1996,
22,la bouche,la bouche,23,be my lover,1996,
23,goo goo dolls,goo goo dolls,24,name,1996,
24,jewel,jewel,25,who will save your soul,1996,
25,no mercy,no mercy,26,where do you go,1996,
26,r. kelly,r. kelly,27,i can't sleep baby (if i),1996,
27,dishwalla,dishwalla,28,counting blue cars,1996,
28,alanis morissette,alanis morissette,29,you learn,1996,
29,joan osborne,joan osborne,30,one of us,1996,
30,natalie merchant,natalie merchant,31,wonder,1996,
31,mary j. blige,mary j. blige,32,not gon' cry,1996,
32,coolio  featuring  l.v.,coolio,33,gangsta's paradise,1996, l.v.
33,112  featuring  the notorious b.i.g.  and  mase,112,34,only you,1996, the notorious b.i.g.  and  mase
34,r. kelly  featuring  the isley brothers,r. kelly,35,down low (nobody has to know),1996, the isley brothers
35,swv,swv,36,you're the one,1996,
36,la bouche,la bouche,37,sweet dreams,1996,
37,monica,monica,38,before you walk out of my life,1996,
38,deep blue something,deep blue something,39,breakfast at tiffany's,1996,
39,coolio,coolio,40,"1, 2, 3, 4 (sumpin' new)",1996,
40,collective soul,collective soul,41,the world i know,1996,
41,blackstreet  featuring  dr. dre,blackstreet,42,no diggity,1996, dr. dre
42,3t,3t,43,anything,1996,
43,the smashing pumpkins,the smashing pumpkins,44,1979,1996,
44,tlc,tlc,45,diggin' on you,1996,
45,monica,monica,46,why i love you so much,1996,
46,total,total,47,kissin' you,1996,
47,whitney houston  featuring  cece winans,whitney houston,48,count on me,1996, cece winans
48,mariah carey,mariah carey,49,fantasy,1996,
49,hootie & the blowfish,hootie & the blowfish,50,time,1996,
50,madonna,madonna,51,you'll see,1996,
51,az yet,az yet,52,last night,1996,
52,merril bainbridge,merril bainbridge,53,mouth,1996,
53,color me badd,color me badd,54,"the earth, the sun, the rain",1996,
54,joe,joe,55,all the things (your man won't do),1996,
55,oasis,oasis,56,wonderwall,1996,
56,busta rhymes,busta rhymes,57,woo hah!! got you all in check,1996,
57,groove theory,groove theory,58,tell me,1996,
58,outkast,outkast,59,elevators (me & you),1996,
59,blues traveler,blues traveler,60,hook,1996,
60,ll cool j,ll cool j,61,doin' it,1996,
61,george michael,george michael,62,fastlove,1996,
62,case  featuring  foxy brown,case,63,"touch me, tease me",1996, foxy brown
63,kris kross,kris kross,64,tonite's tha night,1996,
64,robert miles,robert miles,65,children,1996,
65,adam clayton  and  larry mullen,adam clayton,66,theme from mission: impossible,1996,
66,bodeans,bodeans,67,closer to free,1996,
67,no doubt,no doubt,68,just a girl,1996,
68,aaliyah,aaliyah,69,if your girl only knew,1996,
69,d'angelo,d'angelo,70,lady,1996,
70,john mellencamp,john mellencamp,71,key west intermezzo (i saw you first),1996,
71,ginuwine,ginuwine,72,pony,1996,
72,keith sweat  featuring  athena cage,keith sweat,73,nobody,1996, athena cage
73,hootie & the blowfish,hootie & the blowfish,74,old man and me (when i get to heaven),1996,
74,sheryl crow,sheryl crow,75,if it makes you happy,1996,
75,sophie b. hawkins,sophie b. hawkins,76,as i lay me down,1996,
76,mc lyte  featuring  xscape,mc lyte,77,"keep on, keepin' on",1996, xscape
77,natalie merchant,natalie merchant,78,jealousy,1996,
78,melissa etheridge,melissa etheridge,79,i want to come over,1996,
79,deborah cox,deborah cox,80,who do u love,1996,
80,toni braxton,toni braxton,81,un-break my heart,1996,
81,amber,amber,82,this is your night,1996,
82,r. kelly,r. kelly,83,you remind me of something,1996,
83,janet jackson,janet jackson,84,runaway,1996,
84,planet soul,planet soul,85,set u free,1996,
85,new edition,new edition,86,hit me off,1996,
86,total,total,87,no one else,1996,
87,ghost town dj's,ghost town dj's,88,my boo,1996,
88,junior m.a.f.i.a.  featuring  the notorious b.i.g.,junior m.a.f.i.a.,89,get money,1996, the notorious b.i.g.
89,maxi priest  featuring  shaggy,maxi priest,90,that girl,1996, shaggy
90,do or die  featuring  twista,do or die,91,po pimp,1996, twista
91,metallica,metallica,92,until it sleeps,1996,
92,crucial conflict,crucial conflict,93,hay,1996,
93,ace of base,ace of base,94,beautiful life,1996,
94,take that,take that,95,back for good,1996,
95,pearl jam,pearl jam,96,i got id,1996,
96,faith evans,faith evans,97,soon as i get home,1996,
97,los del río,los del río,98,macarena,1996,
98,hootie & the blowfish,hootie & the blowfish,99,only wanna be with you,1996,
99,seal,seal,100,don't cry,1996,
0,elton john,elton john,1,something about the way you look tonight,1997,
1,jewel,jewel,2,foolish games,1997,
2,puff daddy  featuring  faith evans  and  112,puff daddy,3,i'll be missing you,1997, faith evans  and  112
3,toni braxton,toni braxton,4,un-break my heart,1997,
4,puff daddy  featuring  mase,puff daddy,5,can't nobody hold me down,1997, mase
5,r. kelly,r. kelly,6,i believe i can fly,1997,
6,en vogue,en vogue,7,don't let go (love),1997,
7,mark morrison,mark morrison,8,return of the mack,1997,
8,leann rimes,leann rimes,9,how do i live,1997,
9,spice girls,spice girls,10,wannabe,1997,
10,backstreet boys,backstreet boys,11,quit playing games (with my heart),1997,
11,hanson,hanson,12,mmmbop,1997,
12,monica,monica,13,for you i will,1997,
13,usher,usher,14,you make me wanna...,1997,
14,meredith brooks,meredith brooks,15,bitch,1997,
15,keith sweat  featuring  athena cage,keith sweat,16,nobody,1997, athena cage
16,third eye blind,third eye blind,17,semi-charmed life,1997,
17,duncan sheik,duncan sheik,18,barely breathing,1997,
18,az yet  featuring  peter cetera,az yet,19,hard to say i'm sorry,1997, peter cetera
19,the notorious b.i.g.  featuring  puff daddy  and  mase,the notorious b.i.g.,20,mo money mo problems,1997, puff daddy  and  mase
20,the verve pipe,the verve pipe,21,the freshmen,1997,
21,savage garden,savage garden,22,i want you,1997,
22,blackstreet  featuring  dr. dre,blackstreet,23,no diggity,1997, dr. dre
23,rome,rome,24,i belong to you (every time i see your face),1997,
24,the notorious b.i.g.,the notorious b.i.g.,25,hypnotize,1997,
25,babyface,babyface,26,every time i close my eyes,1997,
26,dru hill,dru hill,27,in my bed,1997,
27,spice girls,spice girls,28,say you'll be there,1997,
28,robyn,robyn,29,do you know (what it takes),1997,
29,boyz ii men,boyz ii men,30,4 seasons of loneliness,1997,
30,changing faces,changing faces,31,g.h.e.t.t.o.u.t.,1997,
31,mariah carey,mariah carey,32,honey,1997,
32,whitney houston,whitney houston,33,i believe in you and me,1997,
33,freak nasty,freak nasty,34,da' dip,1997,
34,spice girls,spice girls,35,2 become 1,1997,
35,sister hazel,sister hazel,36,all for you,1997,
36,112,112,37,cupid,1997,
37,paula cole,paula cole,38,where have all the cowboys gone?,1997,
38,shawn colvin,shawn colvin,39,sunny came home,1997,
39,tim mcgraw  and  faith hill,tim mcgraw,40,it's your love,1997,
40,gina g,gina g,41,ooh aah... just a little bit,1997,
41,merril bainbridge,merril bainbridge,42,mouth,1997,
42,allure  featuring  112,allure,43,all cried out,1997, 112
43,new edition,new edition,44,i'm still in love with you,1997,
44,98 degrees,98 degrees,45,invisible man,1997,
45,"lil' kim  featuring  da brat ,  left eye ,  missy elliott  and  angie martinez",lil' kim,46,not tonight,1997," da brat ,  left eye ,  missy elliott  and  angie martinez"
46,bone thugs-n-harmony,bone thugs-n-harmony,47,look into my eyes,1997,
47,702,702,48,get it together,1997,
48,celine dion,celine dion,49,all by myself,1997,
49,celine dion,celine dion,50,it's all coming back to me now,1997,
50,somethin' for the people  featuring  trina & tamara,somethin' for the people,51,my love is the shhh!,1997, trina & tamara
51,no mercy,no mercy,52,where do you go,1997,
52,barbra streisand  and  bryan adams,barbra streisand,53,i finally found someone,1997,
53,foxy brown  featuring  jay-z,foxy brown,54,i'll be,1997, jay-z
54,sheryl crow,sheryl crow,55,if it makes you happy,1997,
55,dru hill,dru hill,56,never make a promise,1997,
56,journey,journey,57,when you love a woman,1997,
57,timbaland & magoo  featuring  missy elliott  and  aaliyah,timbaland & magoo,58,up jumps da boogie,1997, missy elliott  and  aaliyah
58,toni braxton,toni braxton,59,i don't want to,1997,
59,sheryl crow,sheryl crow,60,everyday is a winding road,1997,
60,mc lyte,mc lyte,61,cold rock a party,1997,
61,ginuwine,ginuwine,62,pony,1997,
62,sarah mclachlan,sarah mclachlan,63,building a mystery,1997,
63,donna lewis,donna lewis,64,i love you always forever,1997,
64,white town,white town,65,your woman,1997,
65,coolio  featuring 40 thevz,coolio,66,c u when u get there,1997,40 thevz
66,eric clapton,eric clapton,67,change the world,1997,
67,b-rock and the bizz,b-rock and the bizz,68,my baby daddy,1997,
68,chumbawamba,chumbawamba,69,tubthumping,1997,
69,r. kelly,r. kelly,70,gotham city,1997,
70,az yet,az yet,71,last night,1997,
71,various artists,various artists,72,the jock jam,1997,
72,heavy d,heavy d,73,big daddy,1997,
73,total,total,74,what about us,1997,
74,scarface  featuring  2pac  and johnny p.,scarface,75,smile,1997, 2pac  and johnny p.
75,montell jordan,montell jordan,76,what's on tonight,1997,
76,bruce springsteen,bruce springsteen,77,secret garden,1997,
77,aaliyah,aaliyah,78,the one i gave my heart to,1997,
78,seal,seal,79,fly like an eagle,1997,
79,lil' kim  featuring  puff daddy,lil' kim,80,no time,1997, puff daddy
80,luscious jackson,luscious jackson,81,naked eye,1997,
81,los del río,los del río,82,macarena,1997,
82,erykah badu,erykah badu,83,on & on,1997,
83,joe,joe,84,don't wanna be a player,1997,
84,warren g,warren g,85,i shot the sheriff,1997,
85,brian mcknight  featuring  mase,brian mcknight,86,you should be mine (don't waste your time),1997, mase
86,madonna,madonna,87,don't cry for me argentina,1997,
87,swv  and  puff daddy,swv,88,someone,1997,
88,michael bolton,michael bolton,89,go the distance,1997,
89,real mccoy,real mccoy,90,one more time,1997,
90,next,next,91,butta love,1997,
91,mr. president,mr. president,92,coco jambo,1997,
92,keith sweat,keith sweat,93,twisted,1997,
93,aqua,aqua,94,barbie girl,1997,
94,the cranberries,the cranberries,95,when you're gone,1997,
95,dj kool,dj kool,96,let me clear my throat,1997,
96,the blackout all-stars,the blackout all-stars,97,i like it,1997,
97,toni braxton,toni braxton,98,you're makin' me high,1997,
98,madonna,madonna,99,you must love me,1997,
99,ray j,ray j,100,let it go,1997,
0,next,next,1,too close,1998,
1,brandy  and  monica,brandy,2,the boy is mine,1998,
2,shania twain,shania twain,3,you're still the one,1998,
3,savage garden,savage garden,4,truly madly deeply,1998,
4,leann rimes,leann rimes,5,how do i live,1998,
5,janet,janet jackson,6,together again,1998,
6,k-ci & jojo,k-ci & jojo,7,all my life,1998,
7,elton john,elton john,8,candle in the wind 1997,1998,
8,usher,usher,9,nice & slow,1998,
9,paula cole,paula cole,10,i don't want to wait,1998,
10,third eye blind,third eye blind,11,how's it going to be,1998,
11,destiny's child,destiny's child,12,"no, no, no",1998,
12,celine dion,celine dion,13,my heart will go on,1998,
13,will smith,will smith,14,gettin' jiggy wit it,1998,
14,usher,usher,15,you make me wanna...,1998,
15,usher,usher,16,my way,1998,
16,mariah carey,mariah carey,17,my all,1998,
17,monica,monica,18,the first night,1998,
18,puff daddy  featuring  the notorious b.i.g.  and  mase,puff daddy,19,been around the world,1998, the notorious b.i.g.  and  mase
19,sarah mclachlan,sarah mclachlan,20,adia,1998,
20,jennifer paige,jennifer paige,21,crush,1998,
21,backstreet boys,backstreet boys,22,everybody (backstreet's back),1998,
22,aerosmith,aerosmith,23,i don't want to miss a thing,1998,
23,public announcement,public announcement,24,body bumpin' (yippie-yi-yo),1998,
24,faith hill,faith hill,25,this kiss,1998,
25,uncle sam,uncle sam,26,i don't ever want to see you again,1998,
26,montell jordan  featuring  master p  and  silkk the shocker,montell jordan,27,let's ride,1998, master p  and  silkk the shocker
27,marcy playground,marcy playground,28,sex and candy,1998,
28,robyn,robyn,29,show me love,1998,
29,boyz ii men,boyz ii men,30,a song for mama,1998,
30,mase  featuring  total,mase,31,what you want,1998, total
31,madonna,madonna,32,frozen,1998,
32,wyclef jean,wyclef jean,33,gone till november,1998,
33,lsg,lsg,34,my body,1998,
34,chumbawamba,chumbawamba,35,tubthumping,1998,
35,lord tariq and peter gunz,lord tariq and peter gunz,36,deja vu (uptown baby),1998,
36,'n sync,'n sync,37,i want you back,1998,
37,five,five,38,when the lights go out,1998,
38,jon b.,jon b.,39,they don't know,1998,
39,"master p  featuring  fiend ,  silkk the shocker ,  mia x  and  mystikal",master p,40,make 'em say uhh!,1998," fiend ,  silkk the shocker ,  mia x  and  mystikal"
40,nicole  featuring  missy elliott  and mocha,nicole wray,41,make it hot,1998, missy elliott  and mocha
41,all saints,all saints,42,never ever,1998,
